Date,Total_Accidents
01-01-2005,308
01-01-2007,335
01-01-2009,244
01-01-2011,204
01-01-2013,262
01-01-2015,235
02-01-2006,516
02-01-2008,532
02-01-2009,319
02-01-2010,657
02-01-2011,487
02-01-2013,434
02-01-2015,233
03-01-2006,580
03-01-2008,522
03-01-2010,608
03-01-2012,439
03-01-2013,344
03-01-2014,392
03-01-2015,250
04-01-2006,517
04-01-2008,485
04-01-2010,510
04-01-2012,329
04-01-2014,432
05-01-2005,486
05-01-2007,576
05-01-2008,480
05-01-2010,378
05-01-2012,376
05-01-2014,434
06-01-2005,655
06-01-2007,520
06-01-2008,346
06-01-2009,551
06-01-2011,399
06-01-2012,415
06-01-2014,327
07-01-2005,627
07-01-2007,458
07-01-2009,513
07-01-2011,508
07-01-2012,347
07-01-2013,420
07-01-2015,471
08-01-2005,445
08-01-2006,544
08-01-2007,486
08-01-2009,460
08-01-2011,416
08-01-2013,421
08-01-2015,364
09-01-2006,594
09-01-2007,447
09-01-2009,524
09-01-2010,486
09-01-2011,423
09-01-2013,298
09-01-2015,351
10-01-2006,461
10-01-2008,612
10-01-2010,699
10-01-2011,485
10-01-2014,468
10-01-2015,510
11-01-2006,621
11-01-2008,510
11-01-2010,475
11-01-2012,453
11-01-2014,425
11-01-2015,348
12-01-2005,673
12-01-2006,750
12-01-2008,533
12-01-2010,262
12-01-2012,412
12-01-2014,374
01-02-2006,264
01-02-2008,263
01-02-2010,293
01-02-2011,146
01-02-2013,277
01-02-2014,328
01-02-2015,261
02-02-2006,521
02-02-2008,415
02-02-2010,449
02-02-2012,445
02-02-2014,272
03-02-2006,585
03-02-2008,366
03-02-2010,568
03-02-2012,388
03-02-2014,286
04-02-2005,492
04-02-2007,455
04-02-2008,391
04-02-2009,434
04-02-2012,347
04-02-2014,356
05-02-2005,482
05-02-2007,629
05-02-2008,554
05-02-2009,415
05-02-2011,326
05-02-2012,362
05-02-2013,446
05-02-2015,346
06-02-2005,482
06-02-2007,501
06-02-2009,551
06-02-2011,414
06-02-2013,348
06-02-2015,400
07-02-2006,462
07-02-2007,547
07-02-2009,508
07-02-2010,534
07-02-2011,419
07-02-2013,397
07-02-2015,467
08-02-2006,575
08-02-2007,498
08-02-2010,335
08-02-2011,416
08-02-2013,418
08-02-2014,389
08-02-2015,357
09-02-2006,547
09-02-2008,483
09-02-2010,469
09-02-2011,481
09-02-2012,310
09-02-2014,440
09-02-2015,411
10-02-2005,423
10-02-2006,580
10-02-2008,564
10-02-2010,495
10-02-2012,444
10-02-2014,450
10-02-2015,524
11-02-2005,719
11-02-2006,644
11-02-2008,335
11-02-2009,486
11-02-2010,495
11-02-2012,506
11-02-2014,319
12-02-2005,739
12-02-2007,366
12-02-2008,622
12-02-2009,587
12-02-2010,254
12-02-2012,325
12-02-2013,385
12-02-2014,456
01-03-2005,293
01-03-2007,397
01-03-2009,341
01-03-2011,186
01-03-2013,256
01-03-2015,240
02-03-2006,653
02-03-2008,308
02-03-2009,313
02-03-2010,472
02-03-2011,486
02-03-2013,233
02-03-2015,413
03-03-2006,661
03-03-2008,506
03-03-2010,376
03-03-2012,396
03-03-2014,479
03-03-2015,426
04-03-2006,535
04-03-2008,419
04-03-2010,340
04-03-2012,387
04-03-2014,393
05-03-2005,570
05-03-2007,525
05-03-2008,423
05-03-2010,297
05-03-2012,351
05-03-2014,386
06-03-2005,576
06-03-2007,416
06-03-2009,398
06-03-2011,546
06-03-2012,370
06-03-2013,466
06-03-2014,405
07-03-2005,442
07-03-2007,518
07-03-2009,594
07-03-2011,350
07-03-2013,421
07-03-2015,509
08-03-2005,534
08-03-2006,493
08-03-2007,534
08-03-2009,387
08-03-2011,397
08-03-2013,359
08-03-2015,350
09-03-2006,433
09-03-2007,504
09-03-2008,483
09-03-2009,451
09-03-2010,513
09-03-2011,366
09-03-2013,411
09-03-2015,323
10-03-2006,567
10-03-2007,478
10-03-2008,554
10-03-2010,373
10-03-2011,442
10-03-2012,473
10-03-2014,512
10-03-2015,339
11-03-2006,691
11-03-2008,509
11-03-2010,547
11-03-2012,411
11-03-2014,486
11-03-2015,399
12-03-2005,541
12-03-2006,424
12-03-2008,594
12-03-2010,306
12-03-2012,444
12-03-2014,484
01-04-2006,422
01-04-2008,410
01-04-2010,401
01-04-2011,367
01-04-2012,382
01-04-2013,314
01-04-2014,272
01-04-2015,214
02-04-2006,548
02-04-2008,590
02-04-2010,388
02-04-2012,445
02-04-2014,430
02-04-2015,429
03-04-2006,496
03-04-2008,530
03-04-2010,463
03-04-2012,293
03-04-2014,445
04-04-2005,447
04-04-2007,507
04-04-2008,490
04-04-2009,398
04-04-2010,297
04-04-2012,338
04-04-2014,388
05-04-2005,505
05-04-2007,534
05-04-2009,305
